Q#,Category,Question,Answer,,,,,,,,,,,,,,,,,,,,,,
1,Ordering,How do I place an order?,"Simply select your item, choose the size/color, click ""Add to Cart,"" and proceed to checkout to enter your details.",,,,,,,,,,,,,,,,,,,,,,
2,Ordering,Can I modify or cancel my order?,You can cancel within 1 hour of placing the order by contacting customer support. Modifications are generally not possible once the order is confirmed.,,,,,,,,,,,,,,,,,,,,,,
3,Ordering,What should I do if a favorite item is sold out?,"Click the ""Notify Me"" button on the product page to receive an email alert as soon as it's restocked.",,,,,,,,,,,,,,,,,,,,,,
4,Ordering,Is a pre-order guaranteed?,"Pre-orders guarantee your item upon availability; however, the estimated delivery date is subject to change.",,,,,,,,,,,,,,,,,,,,,,
5,Ordering,How do I apply a discount code?,"Enter the code in the designated ""Discount Code"" box on the checkout page and click ""Apply.""",,,,,,,,,,,,,,,,,,,,,,
6,Account,Do I need an account to checkout?,"No, you can check out as a guest, but an account allows you to save your address and track orders easily.",,,,,,,,,,,,,,,,,,,,,,
7,Account,How do I update my shipping address?,"You can update it in your ""My Account"" section, or during the checkout process for your current order.",,,,,,,,,,,,,,,,,,,,,,
8,Availability,How often do you restock items?,Restocks vary by popularity and supplier availability; high-demand items are often restocked within 2-4 weeks.,,,,,,,,,,,,,,,,,,,,,,
9,Availability,"Do your ""Final Sale"" items ever return to stock?","No, ""Final Sale"" items are typically clearance and will not be restocked.",,,,,,,,,,,,,,,,,,,,,,
10,Payment,What payment methods are accepted?,"We accept all major credit cards (Visa, MasterCard, Amex), PayPal, and Buy Now, Pay Later options (e.g., Klarna, Afterpay).",,,,,,,,,,,,,,,,,,,,,,
11,Payment,When is my credit card charged?,Your card is charged immediately upon order confirmation and processing.,,,,,,,,,,,,,,,,,,,,,,
12,Payment,Why was my payment declined?,This could be due to incorrect card details or insufficient funds. Please check your card information or contact your bank.,,,,,,,,,,,,,,,,,,,,,,
13,Confirmation,When will I receive my order confirmation?,You should receive it via email within a few minutes of placing your order. Check your spam folder if you don't see it.,,,,,,,,,,,,,,,,,,,,,,
14,Pricing,Do you offer price adjustments?,We offer a one-time price adjustment for items purchased at full price that go on sale within 7 days of the purchase date.,,,,,,,,,,,,,,,,,,,,,,
15,Pricing,Will I be charged sales tax?,Sales tax is applied according to the tax laws of your shipping destination and will be displayed at checkout.,,,,,,,,,,,,,,,,,,,,,,
16,Account,How do I reset my forgotten password?,"Click ""Forgot Password"" on the login page; a reset link will be sent to your registered email address.",,,,,,,,,,,,,,,,,,,,,,
17,Ordering,Can I combine multiple discount codes?,"No, only one promotional code can be used per order.",,,,,,,,,,,,,,,,,,,,,,
18,Ordering,How do I remove an item from my cart?,"Click the cart icon, find the item, and click the ""Remove"" or 'X' icon next to it.",,,,,,,,,,,,,,,,,,,,,,
19,Confirmation,What should I do if I entered the wrong email address?,Contact Customer Service immediately with your name and order details so we can update it and resend the confirmation.,,,,,,,,,,,,,,,,,,,,,,
20,Availability,Are your collections limited edition?,"Most items are part of our core collection, but some collaborations or styles are labeled as limited-edition.",,,,,,,,,,,,,,,,,,,,,,
21,Account,How do I unsubscribe from marketing emails?,"Click the ""Unsubscribe"" link at the bottom of any marketing email you receive from us.",,,,,,,,,,,,,,,,,,,,,,
22,Payment,Do you accept gift cards?,"Yes, physical and e-gift cards can be redeemed at the payment stage of checkout.",,,,,,,,,,,,,,,,,,,,,,
23,Ordering,Is there a maximum limit on order quantity?,"For most items, no. For very limited-edition pieces, a limit may be applied and noted on the product page.",,,,,,,,,,,,,,,,,,,,,,
24,Confirmation,What is my order number?,"Your order number is a unique reference found in your confirmation email and in your ""Order History"" in your account.",,,,,,,,,,,,,,,,,,,,,,
25,Account,How can I view my past purchases?,"Log in to your account and go to the ""Order History"" or ""My Orders"" tab.",,,,,,,,,,,,,,,,,,,,,,
26,Delivery Time,What are your standard delivery times?,Standard delivery typically takes 3-7 business days after the order has been processed.,,,,,,,,,,,,,,,,,,,,,,
27,Delivery Time,Do you offer expedited (express) shipping?,"Yes, we offer an Express Shipping option, usually delivered within 1-2 business days.",,,,,,,,,,,,,,,,,,,,,,
28,Shipping Cost,How are shipping costs calculated?,Shipping costs are calculated based on your location and the selected shipping speed. The final cost is shown at checkout.,,,,,,,,,,,,,,,,,,,,,,
29,Tracking,How do I track my package?,A tracking number and a link to the carrier's website will be emailed to you as soon as your order ships.,,,,,,,,,,,,,,,,,,,,,,
30,Tracking,When will I receive my tracking number?,"The tracking number is typically sent 1-2 business days after the order is placed, once the package leaves our facility.",,,,,,,,,,,,,,,,,,,,,,
31,International,Do you ship internationally?,"Yes, we ship to most countries. International shipping options and costs are available at checkout.",,,,,,,,,,,,,,,,,,,,,,
32,International,Are there duties or customs fees for international orders?,"Yes, the customer is responsible for all import duties, customs, and local taxes levied by their country.",,,,,,,,,,,,,,,,,,,,,,
33,Carriers,Which carriers do you use?,"We primarily use FedEx, UPS, and DHL for both domestic and international shipments.",,,,,,,,,,,,,,,,,,,,,,
34,Processing,How long is the order processing time?,Orders are processed and prepared for shipping within 1-3 business days.,,,,,,,,,,,,,,,,,,,,,,
35,Issues,"What if my package shows ""delivered"" but I haven't received it?","Please check with neighbors and your local post office. If still missing, contact us within 48 hours to start a trace.",,,,,,,,,,,,,,,,,,,,,,
36,Issues,What happens if my package is lost in transit?,"Contact us, and we will open an investigation with the carrier. If confirmed lost, we will issue a full refund or replacement.",,,,,,,,,,,,,,,,,,,,,,
37,Address Change,Can I change the shipping address after I get the tracking number?,"Once the order is in transit, we cannot change the address. Please ensure your address is correct upon checkout.",,,,,,,,,,,,,,,,,,,,,,
38,Delivery,Is a signature required for delivery?,A signature is required for all orders over a certain value (typically $300) to ensure secure delivery.,,,,,,,,,,,,,,,,,,,,,,
39,Delivery,What happens if I'm not home for delivery?,The carrier will usually leave a delivery attempt notice with instructions for rescheduling or pickup.,,,,,,,,,,,,,,,,,,,,,,
40,Delivery,Do you deliver to P.O. Boxes or APO/FPO addresses?,"We can deliver smaller apparel orders to P.O. Boxes, but not most bag orders. APO/FPO addresses are accepted.",,,,,,,,,,,,,,,,,,,,,,
41,Shipping Cost,Is there a minimum purchase for free shipping?,"Yes, we offer free standard shipping on all domestic orders over a specified amount (e.g., $150).",,,,,,,,,,,,,,,,,,,,,,
42,Processing,Can I pay to rush the processing time?,"Currently, we do not offer a service to expedite the internal processing time; only the shipping transit time can be expedited.",,,,,,,,,,,,,,,,,,,,,,
43,Issues,My tracking hasn't updated in a few days; is there a problem?,"This is common. If there's no update for more than 5 business days, please contact our support team.",,,,,,,,,,,,,,,,,,,,,,
44,International,Can I select an international carrier?,You can choose from the available international carrier options presented during checkout.,,,,,,,,,,,,,,,,,,,,,,
45,Packaging,How are the items packaged?,"Apparel is typically shipped in sealed, protective poly-bags; bags are shipped in dust bags inside sturdy boxes.",,,,,,,,,,,,,,,,,,,,,,
46,Click-and-Collect,Do you offer in-store pickup?,"If we have physical locations, yes, we offer a Click-and-Collect option at select stores.",,,,,,,,,,,,,,,,,,,,,,
47,Issues,My package arrived damaged. What should I do?,Take photos of the damaged package and items immediately and contact customer support.,,,,,,,,,,,,,,,,,,,,,,
48,Delivery,What is the cutoff time for same-day shipping?,"If applicable, orders must be placed by 2:00 PM EST for same-day express shipping (on business days).",,,,,,,,,,,,,,,,,,,,,,
49,International,Why is international shipping so expensive?,"The cost includes air freight, fuel surcharges, and basic insurance coverage.",,,,,,,,,,,,,,,,,,,,,,
50,Address,What if my package is returned to you due to an incorrect address?,"We will contact you to arrange a re-shipment, which may incur a new shipping fee.",,,,,,,,,,,,,,,,,,,,,,
51,Returns,What is your return window?,We accept returns for a refund or exchange within 30 days of the delivery date.,,,,,,,,,,,,,,,,,,,,,,
52,Returns,How do I start a return?,Visit our Returns Portal on the website and enter your order number and email address to generate a shipping label.,,,,,,,,,,,,,,,,,,,,,,
53,Returns,Are return labels provided?,"Yes, we provide a pre-paid return label for domestic returns, with the cost deducted from your refund.",,,,,,,,,,,,,,,,,,,,,,
54,Condition,What condition must the item be in for a return?,"Items must be unworn, unwashed, and have all original tags attached, including any security tags.",,,,,,,,,,,,,,,,,,,,,,
55,Bags,Can I return a bag that has been used once?,"No, bags must show no signs of use (scratches, stains, damage) and include the original dust bag.",,,,,,,,,,,,,,,,,,,,,,
56,Exchanges,How do I process an exchange for a different size?,"Select the ""Exchange"" option in the Returns Portal for the size you need. The new size will be shipped once the original is received.",,,,,,,,,,,,,,,,,,,,,,
57,Refunds,How long does it take to process a refund?,"Once the return is received and inspected (3-5 days), the refund is processed immediately, taking an additional 5-10 business days to appear in your account.",,,,,,,,,,,,,,,,,,,,,,
58,Refunds,Will I be refunded the original shipping cost?,"No, the original shipping costs are non-refundable unless the item was damaged or incorrect.",,,,,,,,,,,,,,,,,,,,,,
59,Refunds,How will the refund be issued?,Refunds are processed back to the original payment method used for the purchase.,,,,,,,,,,,,,,,,,,,,,,
60,Exchanges,Can I exchange for a different item altogether?,You can return the original item for a refund and then place a new order for the desired item.,,,,,,,,,,,,,,,,,,,,,,
61,Gifts,Can I return an item that was a gift?,"Yes, gifts can be returned for an e-gift card of equal value if you do not have the original proof of purchase.",,,,,,,,,,,,,,,,,,,,,,
62,Defective,What if I receive a defective or incorrect item?,Contact us immediately with photos. We will provide a free return label and ship a replacement or issue a full refund.,,,,,,,,,,,,,,,,,,,,,,
63,International,What is the return policy for international orders?,"International returns are accepted, but the customer is responsible for all return shipping costs and customs duties.",,,,,,,,,,,,,,,,,,,,,,
64,Tags,What if the security tag is detached?,The item cannot be returned if the security or original price tags are removed or damaged.,,,,,,,,,,,,,,,,,,,,,,
65,Exchanges,What if the requested exchange size is out of stock?,We will notify you and automatically issue a full refund instead.,,,,,,,,,,,,,,,,,,,,,,
66,Returns,Is there a restocking fee for returns?,"No, we do not charge a restocking fee, but the return label cost is deducted from the refund amount.",,,,,,,,,,,,,,,,,,,,,,
67,Timeframe,What if my return is delivered outside the 30-day window?,"Returns received after 30 days may be accepted for store credit only, at our discretion.",,,,,,,,,,,,,,,,,,,,,,
68,Final Sale,"What is your policy on ""Final Sale"" returns?",All Final Sale items are non-refundable and non-exchangeable. This policy is clearly marked on the product page.,,,,,,,,,,,,,,,,,,,,,,
69,Packaging,Do I need to return items in the original packaging?,"While not mandatory, we recommend using the original packaging to protect the items during transit.",,,,,,,,,,,,,,,,,,,,,,
70,Timeframe,Why is my refund taking so long?,Banks and credit card companies may take longer to process the funds; contact your bank first if it exceeds the 10-day window.,,,,,,,,,,,,,,,,,,,,,,
71,Documentation,Do I need to include the original invoice in the return?,"Yes, please include the original packing slip/invoice inside the package to expedite processing.",,,,,,,,,,,,,,,,,,,,,,
72,Defective,What is the warranty on bags?,Our bags come with a 6-month limited warranty against manufacturing defects from the date of purchase.,,,,,,,,,,,,,,,,,,,,,,
73,Exchanges,Can I exchange for a higher-priced item?,"Yes, you will be prompted to pay the difference in price during the exchange process.",,,,,,,,,,,,,,,,,,,,,,
74,Returns,Can I return online purchases to a physical store?,"Yes, if applicable, online purchases can be returned to any of our physical store locations for free.",,,,,,,,,,,,,,,,,,,,,,
75,Policy,Where can I find the full Returns Policy?,"The detailed policy is available via a link in the website footer under ""Returns & Exchanges.""",,,,,,,,,,,,,,,,,,,,,,
